timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/03/30 15:05:21.596, 95 %, 60 %, 65
2025/03/30 15:05:26.597, 98 %, 64 %, 65
2025/03/30 15:05:31.597, 100 %, 63 %, 66
2025/03/30 15:05:36.598, 96 %, 62 %, 65
2025/03/30 15:05:41.599, 99 %, 61 %, 65
2025/03/30 15:05:46.599, 97 %, 60 %, 63
2025/03/30 15:05:51.600, 100 %, 62 %, 66
2025/03/30 15:05:56.600, 99 %, 62 %, 65
2025/03/30 15:06:01.601, 100 %, 63 %, 65
2025/03/30 15:06:06.601, 99 %, 61 %, 65
2025/03/30 15:06:11.602, 99 %, 60 %, 66
2025/03/30 15:06:16.602, 100 %, 63 %, 65
2025/03/30 15:06:21.603, 99 %, 62 %, 65
2025/03/30 15:06:26.603, 94 %, 61 %, 65
2025/03/30 15:06:31.604, 91 %, 60 %, 66
2025/03/30 15:06:36.604, 99 %, 61 %, 65
2025/03/30 15:06:41.605, 93 %, 60 %, 65
2025/03/30 15:06:46.605, 99 %, 64 %, 65
2025/03/30 15:06:51.606, 96 %, 63 %, 65
2025/03/30 15:06:56.606, 96 %, 59 %, 65
2025/03/30 15:07:01.607, 89 %, 56 %, 66
2025/03/30 15:07:06.607, 96 %, 61 %, 65
2025/03/30 15:07:11.607, 97 %, 58 %, 65
2025/03/30 15:07:16.608, 95 %, 62 %, 65
2025/03/30 15:07:21.608, 91 %, 58 %, 65
2025/03/30 15:07:26.609, 95 %, 57 %, 65
2025/03/30 15:07:31.610, 99 %, 61 %, 65
2025/03/30 15:07:36.610, 99 %, 64 %, 65
2025/03/30 15:07:41.611, 99 %, 60 %, 65
2025/03/30 15:07:46.611, 93 %, 58 %, 65
2025/03/30 15:07:51.612, 96 %, 62 %, 66
2025/03/30 15:07:56.612, 96 %, 62 %, 66
2025/03/30 15:08:01.613, 96 %, 61 %, 65
2025/03/30 15:08:06.613, 100 %, 61 %, 66
2025/03/30 15:08:11.614, 91 %, 59 %, 65
2025/03/30 15:08:16.614, 100 %, 62 %, 66
2025/03/30 15:08:21.615, 98 %, 59 %, 66
2025/03/30 15:08:26.615, 99 %, 61 %, 65
2025/03/30 15:08:31.616, 100 %, 63 %, 65
2025/03/30 15:08:36.616, 100 %, 64 %, 66
2025/03/30 15:08:41.617, 96 %, 59 %, 66
2025/03/30 15:08:46.617, 94 %, 56 %, 65
2025/03/30 15:08:51.618, 96 %, 62 %, 64
2025/03/30 15:08:56.619, 96 %, 62 %, 66
2025/03/30 15:09:01.620, 96 %, 59 %, 65
2025/03/30 15:09:06.620, 99 %, 62 %, 65
2025/03/30 15:09:11.621, 99 %, 60 %, 64
2025/03/30 15:09:16.621, 91 %, 57 %, 65
2025/03/30 15:09:21.622, 95 %, 63 %, 65
2025/03/30 15:09:26.623, 100 %, 65 %, 65
2025/03/30 15:09:31.623, 93 %, 58 %, 65
2025/03/30 15:09:36.624, 91 %, 56 %, 65
2025/03/30 15:09:41.624, 99 %, 64 %, 65
2025/03/30 15:09:46.625, 99 %, 63 %, 65
2025/03/30 15:09:51.625, 96 %, 59 %, 64
2025/03/30 15:09:56.626, 100 %, 64 %, 66
2025/03/30 15:10:01.627, 88 %, 58 %, 65
2025/03/30 15:10:06.627, 91 %, 56 %, 64
2025/03/30 15:10:11.628, 100 %, 64 %, 65
2025/03/30 15:10:16.628, 99 %, 64 %, 65
2025/03/30 15:10:21.629, 98 %, 60 %, 65
2025/03/30 15:10:26.629, 88 %, 55 %, 65
2025/03/30 15:10:31.630, 95 %, 62 %, 66
2025/03/30 15:10:36.630, 96 %, 58 %, 65
2025/03/30 15:10:41.631, 98 %, 64 %, 65
2025/03/30 15:10:46.631, 97 %, 62 %, 66
2025/03/30 15:10:51.632, 97 %, 64 %, 65
2025/03/30 15:10:56.632, 95 %, 61 %, 65
2025/03/30 15:11:01.633, 95 %, 62 %, 64
2025/03/30 15:11:06.633, 100 %, 64 %, 65
2025/03/30 15:11:11.634, 96 %, 60 %, 66
2025/03/30 15:11:16.634, 96 %, 62 %, 65
2025/03/30 15:11:21.635, 100 %, 60 %, 66
2025/03/30 15:11:26.635, 99 %, 62 %, 65
2025/03/30 15:11:31.636, 95 %, 59 %, 65
2025/03/30 15:11:36.636, 100 %, 60 %, 65
2025/03/30 15:11:41.637, 96 %, 59 %, 65
2025/03/30 15:11:46.638, 98 %, 61 %, 65
2025/03/30 15:11:51.638, 94 %, 61 %, 65
2025/03/30 15:11:56.639, 98 %, 62 %, 65
2025/03/30 15:12:01.639, 99 %, 63 %, 65
2025/03/30 15:12:06.640, 91 %, 55 %, 65
2025/03/30 15:12:11.641, 99 %, 63 %, 65
2025/03/30 15:12:16.641, 96 %, 58 %, 65
2025/03/30 15:12:21.642, 96 %, 60 %, 65
2025/03/30 15:12:26.642, 91 %, 59 %, 65
2025/03/30 15:12:31.643, 91 %, 56 %, 65
2025/03/30 15:12:36.643, 99 %, 62 %, 66
2025/03/30 15:12:41.644, 100 %, 60 %, 64
2025/03/30 15:12:46.644, 95 %, 61 %, 65
2025/03/30 15:12:51.645, 91 %, 54 %, 65
2025/03/30 15:12:56.645, 100 %, 65 %, 66
2025/03/30 15:13:01.646, 96 %, 59 %, 66
2025/03/30 15:13:06.646, 96 %, 57 %, 65
2025/03/30 15:13:11.647, 89 %, 53 %, 65
2025/03/30 15:13:16.647, 96 %, 59 %, 65
2025/03/30 15:13:21.648, 100 %, 63 %, 66
2025/03/30 15:13:26.648, 93 %, 61 %, 66
2025/03/30 15:13:31.649, 99 %, 63 %, 65
2025/03/30 15:13:36.649, 96 %, 59 %, 66
2025/03/30 15:13:41.650, 99 %, 64 %, 65
2025/03/30 15:13:46.650, 99 %, 63 %, 65
2025/03/30 15:13:51.651, 96 %, 58 %, 65
2025/03/30 15:13:56.651, 96 %, 60 %, 65
2025/03/30 15:14:01.652, 96 %, 62 %, 65
2025/03/30 15:14:06.653, 96 %, 59 %, 65
2025/03/30 15:14:11.653, 100 %, 62 %, 65
2025/03/30 15:14:16.654, 94 %, 61 %, 65
2025/03/30 15:14:21.654, 94 %, 62 %, 65
2025/03/30 15:14:26.655, 95 %, 62 %, 64
2025/03/30 15:14:31.655, 95 %, 61 %, 65
2025/03/30 15:14:36.656, 97 %, 59 %, 65
2025/03/30 15:14:41.656, 94 %, 59 %, 65
2025/03/30 15:14:46.657, 96 %, 62 %, 65
2025/03/30 15:14:51.657, 95 %, 62 %, 66
2025/03/30 15:14:56.658, 99 %, 63 %, 65
2025/03/30 15:15:01.658, 87 %, 54 %, 65
2025/03/30 15:15:06.659, 94 %, 60 %, 65
2025/03/30 15:15:11.659, 99 %, 59 %, 64
2025/03/30 15:15:16.660, 96 %, 58 %, 65
2025/03/30 15:15:21.660, 90 %, 54 %, 65
2025/03/30 15:15:26.661, 96 %, 62 %, 65
2025/03/30 15:15:31.661, 91 %, 59 %, 65
2025/03/30 15:15:36.662, 96 %, 60 %, 65
2025/03/30 15:15:41.662, 95 %, 63 %, 65
2025/03/30 15:15:46.663, 100 %, 64 %, 66
2025/03/30 15:15:51.664, 99 %, 63 %, 65
2025/03/30 15:15:56.664, 99 %, 65 %, 65
2025/03/30 15:16:01.665, 96 %, 62 %, 66
2025/03/30 15:16:06.665, 99 %, 61 %, 65
2025/03/30 15:16:11.666, 91 %, 59 %, 66
2025/03/30 15:16:16.666, 99 %, 65 %, 65
2025/03/30 15:16:21.667, 95 %, 62 %, 65
2025/03/30 15:16:26.667, 100 %, 64 %, 65
2025/03/30 15:16:31.668, 92 %, 60 %, 65
2025/03/30 15:16:36.668, 99 %, 63 %, 65
2025/03/30 15:16:41.669, 95 %, 62 %, 65
2025/03/30 15:16:46.669, 96 %, 59 %, 65
2025/03/30 15:16:51.670, 96 %, 58 %, 65
2025/03/30 15:16:56.670, 95 %, 63 %, 64
2025/03/30 15:17:01.671, 96 %, 60 %, 65
2025/03/30 15:17:06.671, 91 %, 55 %, 65
2025/03/30 15:17:11.672, 89 %, 56 %, 64
2025/03/30 15:17:16.672, 96 %, 61 %, 66
2025/03/30 15:17:21.673, 96 %, 57 %, 65
2025/03/30 15:17:26.673, 97 %, 59 %, 64
2025/03/30 15:17:31.674, 0 %, 0 %, 54
2025/03/30 15:17:36.674, 96 %, 60 %, 65
2025/03/30 15:17:41.675, 96 %, 58 %, 65
2025/03/30 15:17:46.675, 99 %, 61 %, 65
2025/03/30 15:17:51.676, 96 %, 61 %, 65
2025/03/30 15:17:56.676, 99 %, 63 %, 64
2025/03/30 15:18:01.677, 96 %, 59 %, 65
2025/03/30 15:18:06.677, 100 %, 59 %, 64
2025/03/30 15:18:11.678, 100 %, 63 %, 62
2025/03/30 15:18:16.678, 91 %, 55 %, 65
2025/03/30 15:18:21.679, 91 %, 56 %, 64
2025/03/30 15:18:26.679, 99 %, 64 %, 65
2025/03/30 15:18:31.680, 95 %, 60 %, 65
